date,RAD,TMAX,TMIN,RAIN,WIND
19251,17,30.3,23.3,1.7,96
19252,21,31.4,23.1,0.7,92.4
19253,18.9,31.5,21.8,6.2,91.7
19254,19.2,31.2,21.4,0.5,93.8
19255,21.1,31.9,22.3,0.7,94.3
19256,22.3,31.8,23,0.4,92
19257,19.7,31.1,22.3,6.5,93.6
19258,17.4,31.4,24.2,0.5,93.9
19259,4.3,26.1,20.4,0.7,98.7
19260,18.9,30.7,22,0.5,92.7
19261,15,29.6,21.3,0.8,95.3
19262,19.3,31.7,23.4,0.5,91.5
19263,13.5,30.6,21.6,0.5,96.6
19264,21.6,31.8,22.7,0.5,91.6
19265,15.1,31.3,23.9,0.5,93
19266,16.3,30.3,22.2,2.8,94.8
19267,22,31.9,22.4,0.5,90.1
19268,20,32.6,22.2,0.7,91.2
19269,12.9,31.5,24.9,0.2,95.1
19270,21.4,31.9,23.1,0.1,91
19271,17.6,32,23.9,0.1,92.3
19272,21.9,32.2,22.4,0,86
19273,22,33.2,21,1.9,86.7
19274,18.1,32.2,22.6,0.2,91.1
19275,5.3,28.3,22.3,15.6,98.5
19276,20,33.2,22.6,0.2,90
19277,18.6,31.8,23,1.3,89.9
19278,20.3,31.2,21.7,11.8,91.8
19279,21.6,32.1,22.8,1.1,90.8
19280,16.8,31.1,22.4,2.6,90.8
19281,16.4,31.1,23.2,1,92.3
19282,21.4,32.1,23.3,1.2,89.4
19283,20.5,32.8,22.8,0.2,89.6
19284,20.5,32.9,22.6,0.1,89
19285,20.7,33.9,22.1,0.2,87
19286,10.9,29.3,22.8,21.6,96.4
19287,19.4,32.3,22.8,5,90.6
19288,11.8,30,22.5,9.8,96.5
19289,20.1,32.3,22.2,0.2,91.3
19290,20.1,34.5,23.7,0.1,88.7
19291,19.2,32.7,23.5,0.1,90.4
19292,18.8,32.1,22.7,0.1,90.1
19293,17.6,32.5,22.8,0.1,91.1
19294,19.8,33.5,22.3,0.3,87.5
19295,19.6,34.2,23.9,0.1,85.9
19296,14.6,32.9,23.5,1.7,90.9
19297,20,34.6,23.4,0.1,86.7
19298,15.1,31.3,20,15.5,94.9
19299,18.4,32.8,22.5,0.1,90.8
19300,19.7,32.8,21.4,0.2,84.7
19301,19.9,32.7,18.3,0.2,83.6
19302,20.1,33.9,17.4,0.2,83.8
19303,20.4,33.9,18.1,0.2,79.7
19304,19.8,33.3,16.2,0.1,81.2
19305,19.2,34,18.1,0.1,84.2
19306,15.2,32.5,23.1,0,86.4
19307,17.3,34.2,21.7,0.1,83.9
19308,19.2,34.8,19.2,0.2,83.5
19309,15.4,32.8,20.2,0.1,88.2
19310,17.7,33.8,21.2,0.1,87.7
19311,15.8,33.7,21.4,0.1,89.4
19312,18.2,34.5,21.9,0.1,86.3
19313,18.2,35.9,22.3,0.1,80.8
19314,18.2,35.2,19.7,0.2,81.1
19315,16.1,34.2,20.5,0.1,85.4
19316,17.7,34.7,18.9,0.1,79.7
19317,16.4,34.2,16.5,0.1,80
19318,16.8,33.6,17.8,0.1,84.8
19319,16.6,33.8,19.9,0.1,83.9
19320,12.1,32.4,20.8,0.1,88.4
19321,11.7,31.8,23.2,0,85.8
19322,14.4,33.8,20.4,0.1,78.7
19323,16.6,35,17,0.1,76.4
19324,17,34,14.9,0.1,74.5
19325,17.4,36,14.5,0.1,76.1
19326,17.1,36.4,14.3,0.1,77.7
19327,17,36.3,15,0.1,77.7
19328,17.1,36.4,14.3,0.1,76.8
19329,17.3,36.2,14.4,0.1,76.3
19330,16.8,36.4,14.5,0.1,76.7
19331,17.6,36.3,13.9,0.1,74.3
19332,16.8,36,13.6,0.1,76.6
19333,16.6,36.8,14.1,0.1,76.5
19334,16.8,36.9,13.9,0.1,73.9
19335,16.7,36,12.3,0.1,73.5
19336,17.2,35.7,11.6,0.1,70.8
19337,17.1,35.1,9.6,0,71.8
19338,16.7,35.1,11,0.1,72.7
19339,16.5,34.4,11.4,0.1,73.6
19340,16.6,33.1,12.3,0.1,74.1
19341,15.7,33.4,12,0.1,75.2
19342,14.7,33.9,14.3,0.1,74.6
19343,15.9,34.7,12.8,0.1,73.4
19344,12.5,32.4,13.7,0.1,75.5
19345,14.7,32.6,10.7,0.1,75.3
19346,9.6,30.6,13.4,0.1,77.7
19347,16.5,34.7,12.1,0.1,69.3
19348,15.8,35.9,10.4,0.1,70.4
19349,15.4,36,11.3,0.1,72.9
19350,16,36.6,11.5,0,71.6
19351,15.9,37.1,12,0.1,71.4
19352,15.7,35.5,10.7,0.1,70.2
19353,16.3,35.8,10.7,0.1,70.1
19354,15.9,34.8,9.4,0.1,68
